Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p0463,36.68,0.62,7.45,62.73,4.06,7.48,15.73,93.26,0.89,5.5,30.97,66.79,60.02,56.61,30.04,70.22,0.85,59.8,19.05,31.18,27.88
SF16-BE-r1-p0467,35.12,0.53,14.04,59.88,4.14,13.68,26.35,91.1,0.99,4.05,34.92,69.58,62.34,61.42,23.97,143.97,0.43,64.57,10.95,31.07,27.11
SF16-BE-r1-p0471,33.6,0.58,10.54,59.17,3.73,8.73,22.39,91.94,0.92,5.12,33.9,67.9,61.38,59.34,26.14,76.52,0.83,65.22,18.25,28.48,27.62
SF16-BE-r1-p0475,38.85,0.63,9.37,64.95,4.47,8.22,18.11,92.07,0.98,6.25,28.44,64.71,57.05,52.95,22.87,77.36,0.61,59.94,14.06,32.6,28.39
SF16-BE-r1-p0479,36.03,0.51,6.95,61.68,2.71,6.62,25.36,91.79,0.88,5.73,32.21,67.96,60.92,56.2,28.33,60.69,0.6,63.77,17.73,30.3,27.08
SF16-BE-r1-p0483,45.08,0.76,6.19,72.13,3.61,3.82,18.56,92.17,1.02,6.26,24.98,73.04,54.76,48.16,19.13,-9.31,0,60.8,11.42,38.82,28.59
SF16-BE-r1-p0491,23.38,0.43,6.3,42.67,3.06,7.88,19.36,92.61,0.77,4.06,42.32,72.46,69.09,67.92,42.43,86.2,2.03,67.19,32.03,19.32,20.95
SF16-BE-r1-p0499,38.87,0.57,9.76,66.09,3.81,8.86,23.7,92.04,0.97,6.1,28.8,66.76,57.75,53.26,22.35,83.43,0.41,61.26,11.54,32.77,29.56
SF16-BE-r1-p0503,35.64,0.56,8.81,62.41,2.81,7.36,23.81,91.83,0.9,6.05,31.69,68.6,60,55.79,27.26,57.77,0.55,64.16,17.16,29.59,28.41
SF16-BE-r1-p0507,42.03,0.65,12.5,68.95,2.84,9.26,11.08,92.09,1.04,5.3,30.75,74.88,58.82,54.65,16.76,71.49,0.53,67.71,11.37,36.73,29.72
